l,mu,nu,Real,Imag,Magnitud
0,0,0,1.0000000000000007,0.0,1.0000000000000007
4,0,0,0.9438235843271516,-0.10446189541010441,0.9495868817147927
4,0,1,-0.29912564103575967,0.030876519415114517,0.30071499559590653
4,0,2,0.4832532388638697,0.18231061851103827,0.5164986490730616
4,0,3,-0.45784087281336305,0.04875440260361832,0.4604294262878273
4,0,4,-0.059892894313378214,-1.2754900835950764e-19,0.059892894313378214
4,0,5,0.45784087281336305,0.048754402603618324,0.4604294262878273
4,0,6,0.4832532388638697,-0.18231061851103825,0.5164986490730616
4,0,7,0.29912564103575967,0.030876519415114517,0.30071499559590653
4,0,8,0.9438235843271516,0.10446189541010442,0.9495868817147927
6,0,0,-0.15332053815853777,0.1446745379632034,0.2108030107851641
6,0,1,-0.24590100853268354,0.10017953105684971,0.26552447051102696
6,0,2,2.0981560436482,0.05708402665470198,2.0989324356911974
6,0,3,-0.2042551865632945,-0.05897527958001049,0.21259883546140756
6,0,4,-1.6071261087438198,5.006567008078002e-19,1.6071261087438198
6,0,5,0.2042551865632945,-0.05897527958001049,0.21259883546140756
6,0,6,2.0981560436481996,-0.057084026654702,2.098932435691197
6,0,7,0.24590100853268348,0.10017953105684971,0.2655244705110269
6,0,8,-1.3787191106957744,0.11257418236567263,1.3833073890979715
6,0,9,-1.3787191106957744,-0.11257418236567263,1.3833073890979715
6,0,10,0.15332053815853774,0.1446745379632034,0.21080301078516409
6,0,11,-1.673574621572436,0.03611997144915392,1.6739643563435902
6,0,12,-1.673574621572436,-0.03611997144915392,1.6739643563435902
8,0,0,-0.027194050795233984,0.023350521971212783,0.0358435946158007
8,0,1,0.1052885455708307,0.13048309465827704,0.16766489143533234
8,0,2,-1.512465680971311,-0.1428119266974712,1.5191931024471692
8,0,3,0.3216820063988165,0.0035967253805797715,0.3217021132573293
8,0,4,0.8732075854473941,-0.08819670050850636,0.877650354790252
8,0,5,0.01799384006909325,-0.01014451315178753,0.020656462124935524
8,0,6,-0.1823652671157548,-0.03846422058202882,0.18637753865523488
8,0,7,0.10264404340342263,0.05802110649106483,0.11790779636924435
8,0,8,-0.10592312813886054,1.8849409597922264e-20,0.10592312813886054
