lambda_A,Sigma_z,Sigma_x,Sigma_y
1.0,2.8395956263040443,2.800825495559866,2.8126799083453724
1.0100200400801602,2.8976152406222866,2.862016023251887,2.8713432613789283
1.0200400801603207,2.9428204809351795,2.908491789510676,2.917385071085031
1.0300601202404809,2.993594293944601,2.9608486542983954,2.9714611575161625
1.0400801603206413,3.040292578536445,3.004499930161006,3.0235308106403553
1.0501002004008015,3.0824616198966472,3.0332618789156225,3.0730660447964473
1.060120240480962,3.0391169581547066,2.9849882817875306,2.9852212148309447
1.0701402805611222,3.1021056866620436,3.0414945437996828,3.0383521680613232
1.0801603206412826,3.1701007769101244,3.0907950396312485,3.094697001523997
1.0901803607214429,3.1071283228485784,2.980585045185715,3.028410409438876
1.100200400801603,3.1698386089747523,3.01898567438515,3.084554934037495
1.1102204408817635,3.2348075431057914,3.0574109757982137,3.1421310593279377
1.1202404809619237,3.3018899644110156,3.0987124368613315,3.200946925731463
1.1302605210420842,3.2561722340388695,3.140586245159688,3.224425473025075
1.1402805611222444,3.1268238819202088,3.133794445921188,3.188039881678348
1.1503006012024048,3.1807387114159327,3.19395404181734,3.2568888499726856
1.160320641282565,3.238301747702194,3.254350973842123,3.3289361862563123
1.1703406813627255,3.297990952405687,3.29244025210913,3.3095028901270824
1.1803607214428857,3.363739006926395,3.369919961512669,3.370018682587338
1.1903807615230462,3.4327755336787193,3.4553552956846527,3.4307818638810565
1.2004008016032064,3.5048966779458666,3.551937566221468,3.491363048820146
1.2104208416833666,3.5795241550138113,3.6640693197606917,3.5511433759897444
1.220440881763527,3.6555740025656394,3.7977179886456622,3.609268647993748
1.2304609218436873,3.5771696973143152,3.728269305022598,3.6254050353556044
1.2404809619238477,3.5761903028101476,3.4853405250560634,3.4658694456682086
1.250501002004008,3.632413601374399,3.5328278713285854,3.519023371790892
1.2605210420841684,3.6834007940083553,3.5796620348568684,3.570595634507681
1.2705410821643286,3.7277841523421134,3.6261590318086565,3.6198041587248437
1.280561122244489,3.692725382052821,3.6247019220562438,3.6150471245801854
1.2905811623246493,3.7538154473205707,3.6865496187300772,3.6718736321273227
1.3006012024048097,3.8123084767905184,3.745394343953301,3.727682922930076
1.31062124248497,3.867519098379993,3.7984550567585607,3.7820002148074625
1.3206412825651301,3.9188493583079764,3.841723967410235,3.8342731665484915
1.3306613226452906,3.9658907828579184,3.869569613670302,3.8838731703797156
1.340681362725451,4.008564290742879,3.8742385000764443,3.930101319965069
1.3507014028056112,3.9386452678109674,3.693773079890627,3.6589901700539205
1.3607214428857715,4.021467055753366,3.696719377523805,3.712242409840589
1.370741482965932,3.58902181616081,3.458637526835306,3.495617240066288
1.3807615230460921,3.637568016881018,3.50436833603107,3.549705454933901
1.3907815631262526,3.687380803367372,3.552735127986488,3.604557636940599
1.4008016032064128,3.739297601145655,3.604246193109088,3.6601913762243004
1.4108216432865732,3.7944423619662753,3.6592306546516906,3.7166361803241594
1.4208416833667334,3.8542927248541896,3.7177174842802096,3.7739401531124175
1.4308617234468937,3.9207579730883495,3.779278973648829,3.832178038064173
1.440881763527054,3.67020704574668,3.832508012020359,3.8195516481377827
1.4509018036072145,3.689340804770304,3.894965823852585,3.881266264187198
1.4609218436873748,3.7067481344575386,3.9562598932476676,3.9437604754474007
1.470941883767535,3.7228300318201146,4.0156363181510075,4.007194579990785
1.4809619238476954,3.7380817764621725,4.0722198719375,4.071807392570041
1.4909819639278556,3.7530824644204634,4.125024444067657,4.137933484884076
1.5010020040080159,3.7684731290222278,4.172975544190671,4.206021717656811
1.5110220440881763,3.784919565423419,4.2149488616989235,4.276654671788491
1.5210420841683367,3.8030550742015516,4.249829761421023,4.350568411250496
1.531062124248497,3.8233972752557057,4.276599637185883,4.428671795979375
1.5410821643286572,3.8462318922337517,4.294456259588583,4.512064302154264
1.5511022044088176,3.8714549427010354,4.302976666083392,4.602050992404084
1.561122244488978,3.625850512843127,3.999269381314993,4.142862920241993
1.5711422845691383,3.6693275594411525,4.083801368052254,4.196398481715
1.5811623246492985,3.717264218112739,4.184798869268098,4.250102914286474
1.591182364729459,3.770111238440978,4.307177382348625,4.303923403024651
1.6012024048096192,3.82819437326422,4.457104481651223,4.3577165216302065
1.6112224448897794,3.891645257924037,4.642288236105301,4.411206520452863
1.6212424849699398,3.9603128257847384,4.872325010552729,4.463931905811366
1.6312625250501003,4.033651179598722,5.159117299336773,4.515177875016749
1.6412825651302605,4.110579146987405,5.517373879937418,4.563891766122858
1.6513026052104207,4.189305959300713,5.965206429572405,4.608578220002864
1.6613226452905812,3.8388845185900307,4.616264954328373,4.072635391777234
1.6713426853707416,3.904547327348481,4.701869301696514,4.112408407780568
1.6813627254509018,3.972744692989776,4.78405716921235,4.152809887453486
1.691382765531062,4.043304824320804,4.861231244582196,4.193944279131385
1.7014028056112225,4.115912576083349,4.931641538347184,4.235870338409076
1.7114228456913827,4.190058650331455,4.993426551636037,4.278575377809314
1.721442885771543,4.264975306379663,5.044674949057273,4.321942258821063
1.7314629258517034,4.339555775570321,5.083512700044664,4.365707643880751
1.7414829659318638,4.412254108240032,5.108221517419486,4.40940978429808
1.751503006012024,4.480961646687111,5.117395407182467,4.452323845814739
1.7615230460921842,4.542855712141732,5.1101432623116425,4.493382462658331
1.7715430861723447,4.5942154074620065,5.086346700658075,4.531078859467915
1.7815631262525051,4.630198661461302,5.0469837793736625,4.563349483770427
1.7915831663326653,4.64457376547824,4.994530833698722,4.587432644785762
1.8016032064128256,4.629397667149135,4.933456506085067,4.599699151763458
1.811623246492986,4.070620546561675,4.750636660197353,4.365226349032002
1.8216432865731462,4.115965096288447,4.714049917182618,4.401915329741725
1.8316633266533064,4.151096474626358,4.660773181384445,4.429452509885713
1.8416833667334669,4.171767176937958,4.5926958358635455,4.444948331841816
1.8517034068136273,4.172611657707711,4.513391846100212,4.444843212226172
1.8617234468937875,3.43750315535909,4.307258652163874,3.8143803171570414
1.8717434869739478,3.4764066507923173,4.341771423972794,3.869868240718781
1.8817635270541082,3.5166003760850746,4.375716137118775,3.9273138788654864
1.8917835671342687,3.558191601322854,4.40940779734978,3.986820442848193
1.9018036072144289,3.601288507083959,4.443204008147621,4.04849407828161
1.911823647294589,3.6459975707804273,4.477500556067337,4.112445467880431
1.9218436873747495,3.6924201946999813,4.512724387183223,4.178792188226682
1.9318637274549098,3.740648439189042,4.549323379616272,4.247662013176425
1.94188376753507,3.7907597061651535,4.5877522181076245,4.319197391150365
1.9519038076152304,3.842810197973432,4.628453564115398,4.393561363043059
1.9619238476953909,3.8968269543424663,4.6718335873945485,4.470945232386525
1.971943887775551,3.9527982456753605,4.718230780764697,4.551578350324733
1.9819639278557113,4.010662073944394,4.767876816906259,4.6357404355635055
1.9919839679358717,4.070292502843805,4.820848022498225,4.723776914484981
2.0020040080160317,4.131483506381108,4.877005838573439,4.816117839854108
2.012024048096192,4.19392998952699,4.935924404160878,4.91330102886617
2.0220440881763526,4.257205595654636,4.996803140422287,5.016000153636705
2.032064128256513,4.063571142232914,4.750000886212293,4.834186219569707
2.0420841683366735,4.104256447949425,4.78337749847721,4.906866971566613
2.052104208416834,4.142567132925311,4.818023131873797,4.980081514325384
2.062124248496994,4.178215688360917,4.854223593932124,5.053789675589291
2.072144288577154,4.210920381908328,4.8922645374271925,5.127960179785275
2.0821643286573144,4.240409816796148,4.932426964082367,5.202572982629024
2.092184368737475,4.266427998006077,4.974982302126977,5.277621791327191
2.1022044088176353,4.288739915512597,5.020187083839548,5.353116761486223
2.1122244488977957,4.307137649175099,5.0682772606928586,5.429087357563183
2.122244488977956,4.321446993370663,5.119462206805707,5.505585358795189
2.132264529058116,4.331534591746218,5.1739184762381925,5.582687986960139
2.1422845691382766,4.33731556341023,5.231783396390946,5.660501125989079
2.1523046092184366,4.338761591322874,5.293148598538582,5.739162596300706
2.162324649298597,4.335909431412343,5.35805360750872,5.81884543868881
2.1723446893787575,4.328869786862744,5.4264796358819725,5.89976115358572
2.182364729458918,4.317836475888002,5.498343754016423,5.982162831466545
2.1923847695390783,4.303095802913036,5.573493635881975,6.066348098961849
2.2024048096192383,4.2850360221963975,5.651703112324042,6.1526617928170015
2.212424849699399,4.2641567592970615,5.732668798169709,6.241498260075563
2.222444889779559,4.241078229140708,5.816008097758853,6.333303167665881
2.2324649298597192,4.216550059485511,5.901258935253455,6.42857468782391
2.2424849699398797,4.191459495007501,5.987881601684012,6.527863907371761
2.25250501002004,4.166838719680518,6.075263160376425,6.6317742886672315
2.2625250501002006,4.143870993248782,6.1627249064172505,6.740959987911232
2.272545090180361,4.123895250985109,6.249533434420574,6.856122812309131
2.282565130260521,4.108408764170442,6.334915932325208,6.978007571181707
2.292585170340681,4.099067401362837,6.418080387553028,7.107395547356014
2.3026052104208414,4.097682967055765,6.498241465883933,7.245095783874189
2.312625250501002,4.106217024229158,6.574652903141917,7.391933847066269
2.3226452905811623,4.126770530006863,6.646647335540679,7.548737690162578
2.3326653306613228,4.161568528544815,6.713684586611208,7.716320201681053
