Direccion,l,mu,Real,Imag,Magnitud
z,0,0,0.2820947917738778,0.0,0.2820947917738778
z,4,0,0.3600009992321468,3.456496115732001e-20,0.3600009992321468
z,6,0,0.6850309040381425,-3.6959421904722537e-19,0.6850309040381425
z,8,0,0.5751572989078497,-1.5372771429223534e-18,0.5751572989078497
z,10,0,-0.11184921048979986,-3.5990274337439357e-19,0.11184921048979986
z,12,0,-0.09194190079885502,1.5265237111965847e-18,0.09194190079885502
z,12,1,-0.13663695990723007,-2.3321934106229888e-18,0.13663695990723007
z,14,0,-0.05351934097678091,8.218182034595067e-19,0.05351934097678091
z,16,0,-0.014281723108319114,5.34678082318842e-19,0.014281723108319114
z,16,1,-0.09033478763820442,3.498967600807101e-19,0.09033478763820442
z,18,0,0.031177437233951655,-7.16505095269671e-18,0.031177437233951655
z,18,1,0.02528398288544625,-9.875471623049352e-18,0.02528398288544625
z,20,0,0.04075190228019815,-4.066065523600534e-15,0.04075190228019815
z,20,1,-0.020577875224904275,-3.594157837261998e-15,0.020577875224904275
x,0,0,0.2820947917738778,0.0,0.2820947917738778
x,4,0,-0.6679528502672655,3.469446951953614e-18,0.6679528502672655
x,6,0,-0.7803339766183826,0.0,0.7803339766183826
x,8,0,-0.6515992037389753,-1.0408340855860843e-17,0.6515992037389753
x,10,0,0.145147593228617,1.734723475976807e-17,0.145147593228617
x,12,0,0.0781048897581232,0.0,0.0781048897581232
x,12,1,0.14324890037755117,-2.42861286636753e-17,0.14324890037755117
x,14,0,-0.023734262320556494,1.214306433183765e-17,0.023734262320556494
x,16,0,0.00021484805168966493,1.4403221582057227e-17,0.00021484805168966493
x,16,1,0.026471796607124804,-7.399699062828692e-18,0.026471796607124804
x,18,0,-0.05687311651027667,-6.124658072370615e-16,0.05687311651027667
x,18,1,-0.02433638745527069,-1.3916819086023935e-15,0.02433638745527069
x,20,0,0.034173134775377846,-1.1073607308897948e-14,0.034173134775377846
x,20,1,-0.007757187412120545,-4.940926140450941e-15,0.007757187412120545
y,0,0,0.2820947917738778,0.0,0.2820947917738778
y,4,0,-1.065736485466625,-6.938893903907228e-18,1.065736485466625
y,6,0,-0.11069673612473074,1.3877787807814457e-17,0.11069673612473074
y,8,0,0.8635089494572502,-3.469446951953614e-18,0.8635089494572502
y,10,0,0.4731482784431471,-2.7755575615628914e-17,0.4731482784431471
y,12,0,0.060647227220101324,3.469446951953615e-18,0.060647227220101324
y,12,1,-0.28000583676214824,-1.3877787807814454e-17,0.28000583676214824
y,14,0,-0.020601098476875093,-1.214306433183765e-17,0.020601098476875093
y,16,0,-6.362660687462574e-05,-2.725465664468797e-18,6.362660687462574e-05
y,16,1,0.0023410457768783,1.7916819572514617e-17,0.0023410457768783
y,18,0,-0.04296617806185137,6.369145662266096e-16,0.04296617806185137
y,18,1,-0.028536832981307377,1.6165996492845114e-15,0.028536832981307377
y,20,0,0.036928102443078405,-1.0443035325380379e-15,0.036928102443078405
y,20,1,-0.025226578034429317,-3.2998777321768813e-15,0.025226578034429317
