l,mu,nu,Real,Imag,Magnitud
0,0,0,0.9999999999999989,0.0,0.9999999999999989
4,0,0,-1.1319446672333178,0.02958611764739967,1.1323312536689043
4,0,1,0.03331043649198469,1.4108042207715776,1.4111974116069606
4,0,2,-0.2972765041758993,0.07256336267902336,0.3060045122842651
4,0,3,-0.0690774096328573,1.11412586764028,1.1162652630386707
4,0,4,0.4253901049459015,4.0843199006460953e-20,0.4253901049459015
4,0,5,0.0690774096328573,1.11412586764028,1.1162652630386707
4,0,6,-0.2972765041758993,-0.07256336267902337,0.3060045122842651
4,0,7,-0.03331043649198468,1.4108042207715776,1.4111974116069606
4,0,8,-1.1319446672333178,-0.02958611764739967,1.1323312536689043
6,0,0,0.05189045172817995,0.488563675733809,0.4913115958605954
6,0,1,0.07956830484997929,0.0849243587748514,0.11637552083672457
6,0,2,0.24194429946169155,-0.207485466083688,0.3187275681173091
6,0,3,-0.06274697027206,0.7169328220878339,0.719673435431063
6,0,4,0.6735090259923936,-3.6337782867246522e-19,0.6735090259923936
6,0,5,0.06274697027206,0.716932822087834,0.7196734354310632
6,0,6,0.24194429946169155,0.20748546608368798,0.3187275681173091
6,0,7,-0.07956830484997929,0.0849243587748514,0.11637552083672457
6,0,8,-0.5096615901699361,-0.07614468715807209,0.5153182995750768
6,0,9,-0.5096615901699361,0.07614468715807207,0.5153182995750768
6,0,10,-0.05189045172817995,0.488563675733809,0.4913115958605954
6,0,11,0.3243488699606243,-0.07093740365835811,0.3320155187374873
6,0,12,0.3243488699606243,0.0709374036583581,0.3320155187374873
8,0,0,-0.4850580345521859,0.047684214731025555,0.4873962261016637
8,0,1,0.05775998585021213,0.7834972105106295,0.7856233797713471
8,0,2,0.4113267211380792,0.04397137960375883,0.4136703442917573
8,0,3,0.10070361855743591,0.5858753437460953,0.5944671035475108
8,0,4,0.6632019246867085,0.019942569983304233,0.6635016948024274
8,0,5,0.20693762504375393,0.048816524764119185,0.21261757629320102
8,0,6,0.6943053061866968,0.019096637210875796,0.6945678798733546
8,0,7,-0.01132147562003212,0.06386820793357945,0.06486388667711734
8,0,8,0.4945009232805745,-1.3216992428970676e-18,0.4945009232805745
8,0,9,0.011321475620032119,0.06386820793357946,0.06486388667711736
8,0,10,0.6943053061866968,-0.019096637210875792,0.6945678798733546
8,0,11,-0.2069376250437539,0.04881652476411919,0.212617576293201
8,0,12,0.6632019246867085,-0.019942569983304233,0.6635016948024274
8,0,13,-0.10070361855743591,0.5858753437460954,0.5944671035475109
8,0,14,0.41132672113807933,-0.043971379603758826,0.4136703442917574
8,0,15,-0.05775998585021212,0.7834972105106296,0.7856233797713472
8,0,16,-0.4850580345521859,-0.04768421473102556,0.4873962261016637
9,0,0,0.13536536313871705,0.003765516038151987,0.13541772649365488
9,0,1,-7.326490321010044e-18,-0.1331508442581493,0.1331508442581493
9,0,2,0.13536536313871705,-0.003765516038151988,0.13541772649365488
9,0,3,-0.2189605939140989,0.028618589249684457,0.2208229275638222
9,0,4,0.0993852450609192,-0.13190268335555033,0.1651537005707518
9,0,5,0.005522610049508711,-0.05788774540967511,0.058150582889376926
9,0,6,-0.09938524506091917,-0.13190268335555033,0.16515370057075177
9,0,7,-0.3017091648950129,0.08091884105537872,0.31237202022491023
9,0,8,0.30170916489501287,0.08091884105537872,0.31237202022491023
9,0,9,0.005522610049508714,0.057887745409675125,0.05815058288937694
9,0,10,0.21896059391409892,0.02861858924968446,0.22082292756382224
9,0,11,0.01089195010198711,-0.09503758024531767,0.09565968971259196
9,0,12,0.01089195010198711,0.09503758024531768,0.09565968971259198
9,0,13,-0.11429738468060388,-0.1055615323116873,0.155586404447231
9,0,14,-0.07864981658379266,0.019251268910315773,0.08097163085501932
9,0,15,-0.07616704506063081,-0.03127552191737469,0.08233818691513889
9,0,16,-0.07616704506063081,0.03127552191737469,0.08233818691513889
9,0,17,0.07864981658379268,0.019251268910315776,0.08097163085501935
9,0,18,-0.11429738468060387,0.10556153231168731,0.155586404447231
10,0,0,0.051906911558667,-0.22072592800813334,0.22674713396779891
10,0,1,-0.11989041243972262,0.0752123834554925,0.1415295503420499
10,0,2,-0.11248544544868361,0.03765550019132588,0.11862087561828112
10,0,3,0.08177983793905308,0.012674599747896807,0.08275619234901502
10,0,4,-0.26032416642764583,-0.025960761350624865,0.261615429124799
10,0,5,0.08791363574536123,0.0328611244259214,0.09385446632155524
10,0,6,-0.29595603659688063,0.004753760894353502,0.295994212512297
10,0,7,0.025624122705414053,0.3004132371003868,0.3015040774012108
10,0,8,-0.08652233025702256,-2.7840718666036104e-19,0.08652233025702256
10,0,9,-0.025624122705414046,0.30041323710038675,0.30150407740121077
10,0,10,-0.29595603659688063,-0.004753760894353501,0.295994212512297
10,0,11,-0.08791363574536125,0.032861124425921415,0.09385446632155524
10,0,12,-0.2603241664276457,0.025960761350624882,0.2616154291247989
10,0,13,-0.08177983793905307,0.012674599747896814,0.082756192349015
10,0,14,-0.11248544544868352,-0.037655500191325825,0.11862087561828102
10,0,15,0.11989041243972262,0.0752123834554925,0.1415295503420499
10,0,16,0.09671605807648968,0.06283263952039075,0.11533402134216207
10,0,17,0.09671605807648966,-0.06283263952039075,0.11533402134216204
10,0,18,-0.051906911558667,-0.22072592800813334,0.22674713396779891
10,0,19,-0.13897674423305093,0.044718059546484897,0.1459939734619954
10,0,20,-0.13897674423305093,-0.044718059546484897,0.1459939734619954
12,0,0,0.04293294084800887,-0.035322150333597584,0.05559578863590206
12,0,1,-0.0314911706206742,-0.017171782739904044,0.03586870431904225
12,0,2,0.12029161169004846,-0.06719882280865001,0.13778880081435407
12,0,3,0.03063804367739008,-0.005941120193126856,0.031208758859122256
12,0,4,-0.01750925295446319,-0.06039790333446823,0.062884661613331
12,0,5,-0.027679330612387962,0.1478786859372862,0.1504468381113023
12,0,6,-0.06518511045220123,1.0822771321635835e-18,0.06518511045220123
12,0,7,0.027679330612387937,0.147878685937286,0.15044683811130213
12,0,8,-0.017509252954463216,0.06039790333446823,0.062884661613331
12,0,9,-0.030638043677390075,-0.00594112019312685,0.031208758859122252
12,0,10,0.12029161169004846,0.06719882280865001,0.13778880081435407
12,0,11,0.03149117062067413,-0.017171782739904093,0.03586870431904221
12,0,12,0.042932940848008874,0.035322150333597584,0.05559578863590206
12,0,13,-0.035893373080902805,0.023537892655986818,0.04292279839210902
12,0,14,-0.03260425423693024,0.015440650448448131,0.03607563000998797
