# alpha	beta	int	d	sig	s_int	s_d	s_sig
1.631960e+00	1.345730e+00	3.109643e-02	1.439510e+00	1.327765e-03	4.310342e-03	7.273409e-04	4.337158e-04
1.548470e+00	1.362600e+00	1.982858e-13	1.466574e+00	3.346094e-04	nan	nan	nan
1.466110e+00	1.380760e+00	5.920075e-02	1.439145e+00	1.737932e-03	1.089186e-02	1.091126e-03	6.039745e-04
1.648620e+00	1.457750e+00	3.761308e-01	1.439498e+00	2.107158e-03	1.637824e-02	2.631352e-04	1.762250e-04
1.565280e+00	1.466130e+00	3.686300e-01	1.437440e+00	2.487665e-03	1.864581e-02	3.674048e-04	2.486421e-04
1.482610e+00	1.475170e+00	3.505188e-01	1.439215e+00	2.707881e-03	1.767256e-02	8.910970e-04	3.146661e-04
-1.487520e+00	1.570750e+00	1.494396e+00	1.439016e+00	2.816331e-03	3.587398e-02	2.165330e-04	1.223503e-04
-1.570790e+00	1.570750e+00	9.068511e-01	1.438512e+00	2.096863e-03	2.407625e-02	1.536538e-04	1.090993e-04
-1.653540e+00	1.570750e+00	8.230412e-01	1.438603e+00	2.499746e-03	2.468157e-02	2.395068e-04	1.402917e-04
-1.492970e+00	1.457670e+00	8.011241e-01	1.438149e+00	1.980874e-03	2.575215e-02	1.694156e-04	1.235589e-04
-1.576310e+00	1.466040e+00	6.964440e-01	1.439316e+00	3.124309e-03	2.188301e-02	8.016051e-04	2.483596e-04
-1.658980e+00	1.475090e+00	6.120975e-01	1.439087e+00	2.468915e-03	2.646483e-02	6.214581e-04	2.528621e-04
-1.509620e+00	1.345640e+00	2.194608e-01	1.439372e+00	3.327338e-03	1.137326e-02	1.639013e-03	4.770672e-04
-1.593110e+00	1.362510e+00	2.648415e-01	1.438530e+00	2.755446e-03	1.193574e-02	9.374040e-04	3.095460e-04
-1.675480e+00	1.380670e+00	3.321161e-01	1.437912e+00	2.824916e-03	1.343316e-02	8.432669e-04	2.917744e-04
-6.113800e-02	1.345700e+00	1.972333e-02	1.438144e+00	2.729061e-07	1.006490e+08	9.655717e+06	2.461591e+06
2.235220e-02	1.362570e+00	2.935321e-02	1.433748e+00	4.566440e-05	5.815287e+01	7.805257e+00	8.129749e+00
1.047180e-01	1.380730e+00	4.122590e-02	1.437985e+00	4.643199e-03	1.153497e-02	2.187928e-02	4.507480e-03
-7.779700e-02	1.457720e+00	1.569603e-01	1.437533e+00	2.662414e-03	1.157408e-02	6.329152e-04	4.017051e-04
5.538070e-03	1.466100e+00	1.127943e-01	1.437450e+00	1.958497e-03	1.061835e-02	4.959153e-04	3.786194e-04
8.820940e-02	1.475150e+00	1.576110e-01	1.439324e+00	3.253460e-03	1.417267e-02	2.946584e-03	8.187448e-04
3.058340e+00	1.570790e+00	5.732588e-01	1.438883e+00	3.277979e-03	2.043713e-02	4.358445e-04	2.254924e-04
-3.141580e+00	1.570780e+00	3.988154e-01	1.439345e+00	2.783938e-03	1.787648e-02	6.915943e-04	2.624836e-04
-3.058830e+00	1.570780e+00	5.107823e-01	1.439196e+00	2.561464e-03	2.131769e-02	3.947136e-04	2.050036e-04
3.063790e+00	1.457700e+00	3.116135e-01	1.438970e+00	2.155334e-03	1.637711e-02	3.768570e-04	2.159289e-04
-3.136060e+00	1.466070e+00	3.912110e-01	1.438343e+00	2.256249e-03	2.084195e-02	3.697319e-04	2.214149e-04
-3.053390e+00	1.475110e+00	3.077654e-01	1.439112e+00	3.419655e-03	1.651571e-02	1.930954e-03	5.388211e-04
3.080430e+00	1.345670e+00	3.789733e-02	1.440745e+00	3.671010e-03	1.422161e-02	1.947473e-02	4.626069e-03
-3.119260e+00	1.362540e+00	9.384300e-02	1.438001e+00	3.657204e-03	1.207633e-02	1.792344e-03	8.831288e-04
-3.036890e+00	1.380690e+00	1.132871e-01	1.439948e+00	3.076042e-03	9.681450e-03	2.584317e-03	7.963703e-04
-1.508440e+00	1.273260e+00	8.124460e-02	1.437693e+00	1.261743e-03	1.236236e-02	4.443494e-04	4.292664e-04
-1.593780e+00	1.255560e+00	5.505889e-02	1.437934e+00	1.465280e-03	7.682122e-03	7.106683e-04	4.764745e-04
-1.679510e+00	1.240120e+00	6.808776e-12	1.406418e+00	8.805710e-03	nan	nan	nan
-1.486520e+00	1.161920e+00	4.266992e-02	1.439083e+00	2.017496e-03	6.813646e-03	1.980209e-03	8.340326e-04
-1.576800e+00	1.151910e+00	1.113622e-02	1.436731e+00	4.257701e-05	2.739860e+02	2.535334e+01	1.734219e+01
-1.667220e+00	1.144980e+00	2.128696e-02	1.437424e+00	1.149950e-03	4.812985e-03	8.450190e-04	5.616141e-04
-1.474720e+00	1.049190e+00	nan	nan	nan	nan	nan	nan
-1.570790e+00	1.047190e+00	2.244476e-02	1.438412e+00	6.351690e-05	5.899670e+02	4.650279e+01	5.412866e+01
-1.666270e+00	1.049170e+00	1.087513e-02	1.436246e+00	2.835107e-03	6.999715e-03	1.709064e-02	5.212543e-03
-1.474710e+00	9.359740e-01	9.286476e-03	1.411454e+00	2.316579e-04	8.990627e+00	4.038212e-01	3.689634e-01
-1.577580e+00	9.424940e-01	nan	nan	nan	nan	nan	nan
-1.678490e+00	9.538990e-01	2.230483e-02	1.440804e+00	4.563061e-03	2.000218e-02	1.020807e-02	6.288832e-03
-1.489460e+00	8.233250e-01	nan	nan	nan	nan	nan	nan
-1.600160e+00	8.391170e-01	nan	nan	nan	nan	nan	nan
-1.706550e+00	8.606580e-01	3.016558e-02	1.436553e+00	3.055508e-03	8.166851e-03	9.258794e-03	2.809561e-03
6.160300e-02	1.345810e+00	2.653113e-02	1.436474e+00	3.072272e-04	1.642187e-02	4.824043e-04	6.475180e-04
1.243770e-01	1.401890e+00	5.032061e-02	1.436212e+00	1.630358e-03	9.797311e-03	8.462057e-04	6.696688e-04
1.855780e-01	1.458250e+00	8.841085e-02	1.437068e+00	1.784288e-03	9.504502e-03	5.244689e-04	3.610273e-04
-1.056420e-02	1.434030e+00	1.155334e-01	1.438699e+00	2.227794e-03	1.086414e-02	1.070397e-03	4.503179e-04
5.726780e-02	1.482920e+00	2.907423e-01	1.436517e+00	2.175407e-03	1.835767e-02	3.806982e-04	2.882963e-04
1.241030e-01	1.531910e+00	4.441941e-01	1.438659e+00	3.350750e-03	2.051863e-02	8.108099e-04	3.272515e-04
-7.214980e-02	1.529210e+00	3.917225e-01	1.440081e+00	3.239970e-03	1.675056e-02	1.348803e-03	3.835934e-04
-3.141590e+00	1.570790e+00	7.457193e-01	1.438625e+00	2.814028e-03	2.388844e-02	3.182415e-04	1.714041e-04
